year,href,title,legacy
2025,assets/files/2025/06/UN-CHARTER-AT-80-ENG.pdf,UN CHARTER AT 80 ENG,/wp-content/uploads/2025/06/UN-CHARTER-AT-80-ENG.pdf
2025,assets/files/2025/06/UN-CHARTER-AT-80-ESPERANTO.pdf,UN CHARTER AT 80 ESPERANTO,/wp-content/uploads/2025/06/UN-CHARTER-AT-80-ESPERANTO.pdf
2025,assets/files/2025/06/UN-CHARTER-AT-80-FR.pdf,UN CHARTER AT 80 FR,/wp-content/uploads/2025/06/UN-CHARTER-AT-80-FR.pdf
2025,assets/files/2025/06/UN-CHARTER-AT-80-GER.pdf,UN CHARTER AT 80 GER,/wp-content/uploads/2025/06/UN-CHARTER-AT-80-GER.pdf
2025,assets/files/2025/06/UN-CHARTER-AT-80-IT.pdf,UN CHARTER AT 80 IT,/wp-content/uploads/2025/06/UN-CHARTER-AT-80-IT.pdf
2025,assets/files/2025/06/UN-CHARTER-AT-80-JAP.pdf,UN CHARTER AT 80 JAP,/wp-content/uploads/2025/06/UN-CHARTER-AT-80-JAP.pdf
2025,assets/files/2025/06/UN-CHARTER-AT-80-KOR.pdf,UN CHARTER AT 80 KOR,/wp-content/uploads/2025/06/UN-CHARTER-AT-80-KOR.pdf
2025,assets/files/2025/06/UN-CHARTER-AT-80-PORT.pdf,UN CHARTER AT 80 PORT,/wp-content/uploads/2025/06/UN-CHARTER-AT-80-PORT.pdf
2025,assets/files/2025/06/UN-CHARTER-AT-80-RUS.pdf,UN CHARTER AT 80 RUS,/wp-content/uploads/2025/06/UN-CHARTER-AT-80-RUS.pdf
2025,assets/files/2025/06/UN-CHARTER-AT-80-SP.pdf,UN CHARTER AT 80 SP,/wp-content/uploads/2025/06/UN-CHARTER-AT-80-SP.pdf
2025,assets/files/2025/08/Concept-Note-for-FOGGS-open-Consultation-of-15-Sept-2025_Rev-1.pdf,Concept Note for FOGGS open Consultation of 15 Sept 2025 Rev 1,/wp-content/uploads/2025/08/Concept-Note-for-FOGGS-open-Consultation-of-15-Sept-2025_Rev-1.pdf
2025,assets/files/2025/10/Nov-10-concept-note-Global-South-Perspectives-on-the-United-Nations.pdf,Nov 10 concept note Global South Perspectives on the United Nations,/wp-content/uploads/2025/10/Nov-10-concept-note-Global-South-Perspectives-on-the-United-Nations.pdf
2024,assets/files/2024/04/2024.04.10-REFLECTIONS-ON-THE-ZERO-DRAFT-OF-THE-PACT-FOR-THE-FUTURE.pdf,2024.04.10 REFLECTIONS ON THE ZERO DRAFT OF THE PACT FOR THE FUTURE,/wp-content/uploads/2024/04/2024.04.10-REFLECTIONS-ON-THE-ZERO-DRAFT-OF-THE-PACT-FOR-THE-FUTURE.pdf
2024,assets/files/2024/05/2024UNCSC_ImPact-for-the-Future-Outcome-Package.pdf,2024UNCSC ImPact for the Future Outcome Package,/wp-content/uploads/2024/05/2024UNCSC_ImPact-for-the-Future-Outcome-Package.pdf
2024,assets/files/2024/10/A-NEW-COUNCIL-FOGGS-text-Final-but-needs-reformating-7Aug2024formatted.pdf,A NEW COUNCIL FOGGS text Final but needs reformating 7Aug2024formatted,/wp-content/uploads/2024/10/A-NEW-COUNCIL-FOGGS-text-Final-but-needs-reformating-7Aug2024formatted.pdf
2024,assets/files/2024/10/Call-to-end-ME-violence-Final-with-signatures-23-24-Oct-2024.pdf,Call to end ME violence Final with signatures 23 24 Oct 2024,/wp-content/uploads/2024/10/Call-to-end-ME-violence-Final-with-signatures-23-24-Oct-2024.pdf
2024,assets/files/2024/10/Call-to-World-Leaders-on-Gaza-Final-27-Dec-2023-with-Signatories.pdf,Call to World Leaders on Gaza Final 27 Dec 2023 with Signatories,/wp-content/uploads/2024/10/Call-to-World-Leaders-on-Gaza-Final-27-Dec-2023-with-Signatories.pdf
2024,assets/files/2024/02/DEMOCRAT_Tallin-Conference-Agenda-27-28-Feb-2024.pdf,DEMOCRAT Tallin Conference Agenda 27 28 Feb 2024,/wp-content/uploads/2024/02/DEMOCRAT_Tallin-Conference-Agenda-27-28-Feb-2024.pdf
2024,assets/files/2024/12/Discussion-summary-for-Building-a-Culture-of-Peace-at-a-Time-of-Global-Turmoil-FOGGS-Open-Consultation-no.3_9-December-2024.pdf,Discussion summary for Building a Culture of Peace at a Time of Global Turmoil FOGGS Open Consultation no.3 9 December 2024,/wp-content/uploads/2024/12/Discussion-summary-for-Building-a-Culture-of-Peace-at-a-Time-of-Global-Turmoil-FOGGS-Open-Consultation-no.3_9-December-2024.pdf
2024,assets/files/2024/04/FOGGS_Paper_RunningOutofDiplomats_09April2024.pdf,FOGGS Paper RunningOutofDiplomats 09April2024,/wp-content/uploads/2024/04/FOGGS_Paper_RunningOutofDiplomats_09April2024.pdf
2024,assets/files/2024/05/FOGGS-Response-to-Rev-1-of-the-Pact-for-the-Future-30-May-2024.pdf,FOGGS Response to Rev 1 of the Pact for the Future 30 May 2024,/wp-content/uploads/2024/05/FOGGS-Response-to-Rev-1-of-the-Pact-for-the-Future-30-May-2024.pdf
2024,assets/files/2024/12/FOGGS_WorkingPaper_StrategicForesight_December2024.pdf,FOGGS WorkingPaper StrategicForesight December2024,/wp-content/uploads/2024/12/FOGGS_WorkingPaper_StrategicForesight_December2024.pdf
2024,assets/files/2024/05/FOGGSPaper_RussiaUkraineWarandUNCharter_May2024.pdf,FOGGSPaper RussiaUkraineWarandUNCharter May2024,/wp-content/uploads/2024/05/FOGGSPaper_RussiaUkraineWarandUNCharter_May2024.pdf
2024,assets/files/2024/11/FrancisMODonnell_Resolving_the_Israel_Palestine_Conundrum_FOGGS_Paper_November_2024.pdf,FrancisMODonnell Resolving the Israel Palestine Conundrum FOGGS Paper November 2024,/wp-content/uploads/2024/11/FrancisMODonnell_Resolving_the_Israel_Palestine_Conundrum_FOGGS_Paper_November_2024.pdf
2024,assets/files/2024/09/GarySlutkin_ViolenceasaPandemic_FOGGSPaper_Aug2024.pdf,GarySlutkin ViolenceasaPandemic FOGGSPaper Aug2024,/wp-content/uploads/2024/09/GarySlutkin_ViolenceasaPandemic_FOGGSPaper_Aug2024.pdf
2024,assets/files/2024/06/Gaza-open-letter-by-PRG-3-June-2024_wSignatories.pdf,Gaza open letter by PRG 3 June 2024 wSignatories,/wp-content/uploads/2024/06/Gaza-open-letter-by-PRG-3-June-2024_wSignatories.pdf
2024,assets/files/2024/09/GRC-concept-FOGGSIGDISI_16Aug2024.pdf,GRC concept FOGGSIGDISI 16Aug2024,/wp-content/uploads/2024/09/GRC-concept-FOGGSIGDISI_16Aug2024.pdf
2024,assets/files/2024/11/Letter-to-PGA-on-Middle-East_from-former-UN-staff_with-signatures-22Nov2024_Final.pdf,Letter to PGA on Middle East from former UN staff with signatures 22Nov2024 Final,/wp-content/uploads/2024/11/Letter-to-PGA-on-Middle-East_from-former-UN-staff_with-signatures-22Nov2024_Final.pdf
2024,assets/files/2024/11/Letter-to-UNSC-President-on-Middle-East_from-former-UN-staff_with-signatures-22Nov2024_Final.pdf,Letter to UNSC President on Middle East from former UN staff with signatures 22Nov2024 Final,/wp-content/uploads/2024/11/Letter-to-UNSC-President-on-Middle-East_from-former-UN-staff_with-signatures-22Nov2024_Final.pdf
2024,assets/files/2024/10/PRG-Statement-in-support-of-UNSG-with-Signatories.pdf,PRG Statement in support of UNSG with Signatories,/wp-content/uploads/2024/10/PRG-Statement-in-support-of-UNSG-with-Signatories.pdf
2024,assets/files/2024/01/Signatories-of-the-PRG-Call-for-UNSC-resolution-2720-Immediate-Follow-Up.pdf,Signatories of the PRG Call for UNSC resolution 2720 Immediate Follow Up,/wp-content/uploads/2024/01/Signatories-of-the-PRG-Call-for-UNSC-resolution-2720-Immediate-Follow-Up.pdf
2024,assets/files/2024/09/SudhaReddy_WeaponizationofFood_FOGGSPaper_Sept2024.pdf,SudhaReddy WeaponizationofFood FOGGSPaper Sept2024,/wp-content/uploads/2024/09/SudhaReddy_WeaponizationofFood_FOGGSPaper_Sept2024.pdf
2024,assets/files/2024/01/FOGGS-written-submission-to-SOTF-process_31-December-2023.pdf,FOGGS written submission to SOTF process 31 December 2023,/wp-content/uploads/2024/01/FOGGS-written-submission-to-SOTF-process_31-December-2023.pdf
2024,assets/files/2024/04/Letter-to-SG-on-ERC-Final.pdf,Letter to SG on ERC Final,/wp-content/uploads/2024/04/Letter-to-SG-on-ERC-Final.pdf
2024,assets/files/2024/05/Gaza-open-letter-by-PRG-3-June-2024.pdf,Gaza open letter by PRG 3 June 2024,/wp-content/uploads/2024/05/Gaza-open-letter-by-PRG-3-June-2024.pdf
